icao_code;iata_code;gps_code;Lat;Long
LFRI;EDM;LFRI;46,7019;-1,37863
LFRJ;LDV;LFRJ;48,5303;-4,15164
LFRK;CFR;LFRK;49,17678;-0,454883
LFRM;LME;LFRM;47,948604;0,201702
LFRN;RNS;LFRN;48,0695;-1,73479
LFRO;LAI;LFRO;48,754398;-3,47166
LFRQ;UIP;LFRQ;47,973031;-4,169655
LFRS;NTE;LFRS;47,153198;-1,61073
LFRT;SBK;LFRT;48,538628;-2,853518
LFRU;MXN;LFRU;48,60319901;-3,815779924
LFRV;VNE;LFRV;47,723301;-2,71856
LFRZ;SNR;LFRZ;47,31142;-2,152634
LFSB;BSL;LFSB;47,60068;7,521117
LFSD;DIJ;LFSD;47,268902;5,09
LFSG;EPL;LFSG;48,325001;6,06998
LFSL;BVE;LFSL;45,039722;1,485556
LFSN;ENC;LFSN;48,692101;6,23046
LFST;SXB;LFST;48,53829956;7,628230095
LFTH;TLN;LFTH;43,097301;6,14603
LFTW;FNI;LFTW;43,757401;4,41635
LFTZ;LTT;LFTZ;43,205399;6,482
LGAD;PYR;LGAD;37,9207;21,292601
LGAL;AXD;LGAL;40,8559;25,956301
LGAV;ATH;LGAV;37,936401;23,9445
LGBL;VOL;LGBL;39,219601;22,7943
LGHI;JKH;LGHI;38,34320068;26,1406002
LGIK;JIK;LGIK;37,68270111;26,3470993
LGIO;IOA;LGIO;39,6964;20,8225
LGIR;HER;LGIR;35,339699;25,1803
LGKA;KSO;LGKA;40,446301;21,2822
LGKC;KIT;LGKC;36,27429962;23,0170002
LGKF;EFL;LGKF;38,12009811;20,50049973
LGKL;KLX;LGKL;37,06829834;22,02549934
LGKP;AOK;LGKP;35,421398;27,146
LGKR;CFU;LGKR;39,601898;19,911699
LGKS;KSJ;LGKS;35,42139816;26,90999985
LGKV;KVA;LGKV;40,9133;24,6192
LGKY;JKL;LGKY;36,9632988;26,94059944
LGKZ;KZI;LGKZ;40,286098;21,840799
LGLE;LRS;LGLE;37,184898;26,800301
LGLM;LXS;LGLM;39,917099;25,23629951
LGLR;LRA;LGLR;39,650253;22,4655
LGMK;JMK;LGMK;37,435101;25,348101
LGML;MLO;LGML;36,696899;24,4769
LGMT;MJT;LGMT;39,057272;26,598887
LGNX;JNX;LGNX;37,0811;25,368099
LGPA;PAS;LGPA;37,020495;25,113195
LGPL;JTY;LGPL;36,57989883;26,37579918
LGPZ;PVK;LGPZ;38,925499;20,765301
LGRX;GPA;LGRX;38,1511;21,4256
LGSA;CHQ;LGSA;35,5317;24,1497
LGSK;JSI;LGSK;39,177101;23,5037
LGSM;SMI;LGSM;37,689999;26,911699
LGSO;JSY;LGSO;37,42279816;24,95089912
LGSP;SPJ;LGSP;36,9739;22,5263
LGSR;JTR;LGSR;36,39920044;25,47929955
LGST;JSH;LGST;35,21609879;26,10129929
LGSY;SKU;LGSY;38,96760178;24,48719978
LGTS;SKG;LGTS;40,51928;22,970009
LGZA;ZTH;LGZA;37,7509;20,8843
LHBP;BUD;LHBP;47,43018;19,262393
LHDC;DEB;LHDC;47,488899;21,615299
LHPP;PEV;LHPP;45,988891;18,242044
LHSM;SOB;LHSM;46,686391;17,159084
LIAP;QAQ;LIAP;42,379902;13,3092
LIBC;CRV;LIBC;38,9972;17,0802
LIBD;BRI;LIBD;41,138901;16,760599
